2710S26G3.str,DWTR_26G5.str,2023_26G5.str,2026_26G5.str,2587S26G3.str,2711aS26G3.str,eV
0,0,0,0,0,0,20
0,0,0,0,0,0,40
0,0,0,0,0,0,60
0,0,0,0,0,0,80
0,0,0,0,0,0,100
0,0,0,0,0,0,120
0,0,0,0,0,0,140
0,0,0,0,0,0,160
0,0,0,0,0,0,180
0,0,0,0,0,0,200
0,0,0,0,0,0,220
0,0,0,0,0,0,240
0,0,0,0,0,0,260
0,0,0,0,0,0,280
0,0,0,0,0,0,300
0,0,0,0,0,0,320
0,0,0,0,0,0,340
0,0,0,0,0,0,360
0,0,0,0,0,0,380
0,0,0,0,0,0,400
0,0,0,0,0,0,420
0,0,0,0,0,0,440
0,0,0,0,0,0,460
0,0,0,0,0,0,480
0,0,0,0,0,0,500
0,0,0,0,0,0,520
0,0,0,0,0,0,540
0,0,0,0,0,0,560
0,0,0,0,0,0,580
0,0,0,0,0,0,600
268,166,35,27,256,298,620
242,151,41,64,356,288,640
431,197,32,20,306,293,660
275,151,35,27,274,282,680
327,161,47,50,329,293,700
314,174,38,71,288,267,720
418,223,54,50,306,370,740
320,205,32,34,292,385,760
477,223,95,94,402,339,780
425,228,57,64,356,401,800
530,288,85,61,402,421,820
451,278,76,88,393,411,840
418,288,107,108,448,447,860
438,309,114,145,494,488,880
530,394,126,131,466,549,900
595,387,199,172,567,637,920
582,457,170,236,635,606,940
778,537,193,215,622,719,960
647,587,237,323,640,657,980
830,685,275,239,763,801,1000
915,812,303,337,919,1063,1020
1059,797,423,306,1060,1042,1040
1026,978,350,444,987,1006,1060
1040,1064,372,407,1220,1114,1080
1196,1233,467,488,1261,1320,1100
1138,1376,474,522,1284,1469,1120
1497,1684,515,528,1627,1612,1140
1360,1754,546,545,1563,1792,1160
1602,1991,584,643,2011,2054,1180
2007,2411,682,650,2221,2598,1200
2236,2881,698,740,2523,2758,1220
2321,3083,704,680,2884,3117,1240
2870,3626,729,794,3002,3584,1260
3086,4230,764,892,3907,4272,1280
3694,4921,821,902,4241,4837,1300
3982,5487,789,1003,4492,5397,1320
4818,6327,947,1000,5525,6142,1340
5596,7820,915,1212,6832,7518,1360
6871,9224,1004,1269,8203,8899,1380
7688,10280,1064,1471,9387,10270,1400
9709,12120,1364,1733,11037,12324,1420
11618,14163,1506,1996,13532,14907,1440
12945,16550,1654,2127,15374,17536,1460
14239,16909,1714,2305,16740,18158,1480
17227,19353,1711,2504,20661,21778,1500
18626,19930,2039,2804,22608,24700,1520
21039,20506,2115,2891,26026,27514,1540
24111,20298,2210,3053,27859,30215,1560
27890,21666,2399,3369,33082,34025,1580
32205,22084,2494,3726,37131,37913,1600
35729,23189,2759,4288,41985,42190,1620
41188,24718,3087,4799,47322,48419,1640
47092,28746,3491,5648,54018,54674,1660
