2710S26G3.str,DWTR_26G5.str,2023_26G5.str,2026_26G5.str,2587S26G3.str,2711aS26G3.str
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
268,166,35,27,256,298
242,151,41,64,356,288
431,197,32,20,306,293
275,151,35,27,274,282
327,161,47,50,329,293
314,174,38,71,288,267
418,223,54,50,306,370
320,205,32,34,292,385
477,223,95,94,402,339
425,228,57,64,356,401
530,288,85,61,402,421
451,278,76,88,393,411
418,288,107,108,448,447
438,309,114,145,494,488
530,394,126,131,466,549
595,387,199,172,567,637
582,457,170,236,635,606
778,537,193,215,622,719
647,587,237,323,640,657
830,685,275,239,763,801
915,812,303,337,919,1063
1059,797,423,306,1060,1042
1026,978,350,444,987,1006
1040,1064,372,407,1220,1114
1196,1233,467,488,1261,1320
1138,1376,474,522,1284,1469
1497,1684,515,528,1627,1612
1360,1754,546,545,1563,1792
1602,1991,584,643,2011,2054
2007,2411,682,650,2221,2598
2236,2881,698,740,2523,2758
2321,3083,704,680,2884,3117
2870,3626,729,794,3002,3584
3086,4230,764,892,3907,4272
3694,4921,821,902,4241,4837
3982,5487,789,1003,4492,5397
4818,6327,947,1000,5525,6142
5596,7820,915,1212,6832,7518
6871,9224,1004,1269,8203,8899
7688,10280,1064,1471,9387,10270
9709,12120,1364,1733,11037,12324
11618,14163,1506,1996,13532,14907
12945,16550,1654,2127,15374,17536
14239,16909,1714,2305,16740,18158
17227,19353,1711,2504,20661,21778
18626,19930,2039,2804,22608,24700
21039,20506,2115,2891,26026,27514
24111,20298,2210,3053,27859,30215
27890,21666,2399,3369,33082,34025
32205,22084,2494,3726,37131,37913
35729,23189,2759,4288,41985,42190
41188,24718,3087,4799,47322,48419
47092,28746,3491,5648,54018,54674
51688,30900,3930,6294,61138,61395
58402,34661,4530,7260,67942,68975
61442,36179,4858,7253,73143,70767
68372,38694,5240,8623,81588,79189
71085,40129,5698,8286,84166,80996
71334,38196,5903,8852,86259,80123
66189,33859,5739,7849,79619,73894
64129,31289,5830,7896,76127,71240
58317,26613,5657,7051,68797,61447
51008,21879,5521,6287,57801,51962
39756,16774,5461,5806,44960,40264
32460,14012,5827,5712,35893,32587
25099,11617,6395,5664,27224,23755
18227,9424,7169,6253,20551,17762
12964,7682,6762,5765,13980,13084
10997,8100,8318,6903,12074,10625
9146,7770,8810,7118,8774,8761
6982,7879,9454,7711,7394,7466
6054,7747,9394,7391,6357,6142
5570,8027,9994,7536,6160,6301
5498,8214,9467,7367,5557,5833
4956,8222,8488,6758,5361,5433
4799,7700,7406,5981,5027,5017
5080,8637,6822,5456,4730,5007
5028,8982,5862,5217,4858,4853
4903,9442,5196,4746,4762,4632
4720,9543,4697,4500,4419,4324
5060,10794,4296,4046,4858,4729
5492,11827,4347,4079,4890,4473
5623,13247,4337,3945,4465,4519
5407,13613,4303,3941,4849,4391
5544,14910,4577,4072,4625,4596
6472,14754,4719,4254,4858,4498
6355,14838,4606,4012,4748,4668
5891,13366,4615,4227,4250,4355
6139,13309,4804,4473,4721,4729
6309,11643,4669,4520,4675,4765
5845,10135,5035,4618,4753,4519
5904,8619,4849,4463,4396,4247
5139,7742,4864,5102,3976,4385
5348,6953,5452,5563,4538,4180
5387,6182,5960,6055,4355,4637
5217,5580,6459,6509,4378,4247
5296,5736,7185,7310,4643,5022
5596,5814,8561,8630,4346,5012
5485,6029,10029,9915,4703,5294
5623,6047,10660,10673,4643,5346
5701,6927,13163,13244,5169,6234
6342,7366,15203,14809,5498,6455
6865,7973,17027,16377,6224,7323
7048,7763,17693,17296,6457,7487
8198,8393,19811,19470,6604,7975
8408,8588,20279,19844,7234,8930
8140,8757,20503,19723,7344,8822
8466,7864,19161,18397,6754,8211
8336,7975,19063,18636,7335,8648
8427,7664,17485,17427,6887,8416
8388,6948,15875,15768,6599,8303
7237,6099,13962,14139,6142,8016
7394,6317,13719,13611,6293,7626
7322,5549,12182,11857,5713,6861
6374,5206,10998,10733,5548,7040
5773,4866,10064,9737,5027,6445
5472,4298,8416,8630,4876,6095
5596,4049,7390,7532,4799,5864
4969,3426,6629,6620,4332,5721
4864,3135,5360,5621,4328,5448
4524,2982,4584,4914,4159,5674
4825,2959,4274,4264,4108,5741
4616,2668,3870,3965,4369,5988
4629,2312,3226,3396,3976,5962
4760,2445,3131,3339,4876,6368
5152,2328,3053,3029,4904,7153
5753,2170,2737,2915,5402,8160
5976,1913,2443,2908,5854,8735
7165,2092,2579,2790,6494,10193
7858,1959,2506,2878,7280,11200
8885,2006,2459,2945,8157,12694
8970,1848,2443,2942,8217,13095
11284,2045,2683,3117,9433,15744
12683,2081,2869,3234,10118,16833
13442,2092,2850,3537,11626,18625
13533,2092,3015,3706,11845,18240
15037,2102,3409,3934,12622,20227
14462,2188,3214,3823,12590,19837
14292,2261,3315,4052,12563,18594
13043,2110,3239,3982,11187,17572
12677,2362,3378,4170,11146,17331
11958,2310,3422,4214,9734,16520
10277,2297,3794,4056,9277,15185
8846,2450,3829,4072,7851,13716
8931,2536,4205,4554,7764,13875
8460,2660,4697,5052,7275,14091
7976,2977,5291,5449,7120,14676
8460,2972,5843,6240,6828,14979
8924,3358,7191,7499,7294,16679
9493,3600,8245,8532,7796,18065
9741,3901,9309,10282,7966,19827
10277,4272,10029,10824,8002,21003
11330,4347,11475,12079,8921,23103
11520,4833,12239,12339,8889,24212
11853,5017,12895,13348,9263,24890
11703,4825,12254,12732,8966,23781
11513,4747,12305,12214,9337,23652
10709,4482,11774,11800,8752,23247
10049,4098,10322,10259,8199,20443
9127,3379,8394,8724,6919,17105
8283,3101,7380,7603,6133,14948
7087,2837,6042,6237,5283,12802
5675,2494,5025,5038,4611,10363
4707,2289,3965,4049,3811,8093
4289,2240,3665,3995,3441,7641
3720,2152,3542,3746,2989,6532
3550,2087,3387,3457,2939,6054
3217,1972,3207,3258,2893,5197
3132,2253,3371,3810,2975,5484
3269,2045,3592,3615,2843,5782
3341,2102,3643,3574,2943,5520
3132,2105,3393,3403,2728,4981
3164,2097,3558,3500,2920,5674
3295,2144,3387,3524,2779,5094
2877,2009,2996,3298,2769,4832
3060,1931,2914,2770,2427,4601
2844,1819,2914,2703,2628,4098
2569,1767,2579,2837,2705,3708
2582,1866,2330,2514,2564,3528
2511,1850,2282,2457,2427,3333
2367,1775,2194,2410,2477,3004
2622,1594,2267,2299,2271,3235
2582,1601,2096,2134,2349,3220
2550,1549,2074,2130,2715,2809
2759,1570,2143,2369,2829,3045
2922,1791,2178,2427,2966,3507
3177,1858,2270,2231,3396,3733
3119,1848,2181,2299,3702,3533
3380,1996,2390,2376,4127,4031
4165,1972,2361,2443,4492,4401
4184,2102,2308,2484,5004,4714
4465,2196,2386,2558,5246,4940
4975,2279,2557,2878,5649,5330
4910,2411,2566,2932,6412,5515
5263,2530,2737,2760,6837,5854
5126,2206,2184,2699,6448,5767
5629,2505,2525,2935,7184,5946
5400,2235,2882,3130,6956,6357
5361,2232,2743,3083,7006,5895
5263,2043,2592,3107,6064,5258
4773,2048,2743,3120,5745,5104
4799,2107,2923,3032,5178,4842
4354,1913,2797,2979,4556,4344
3707,1806,2715,2995,4163,3708
3511,1806,2768,2871,3875,3728
3125,1791,2753,2948,3290,3456
